menu_id,menu_name,category,price,popularity
M001,ผัดไทย,อาหารหลัก,111.94,4.3
M002,ข้าวผัด,อาหารหลัก,83.59,4.5
M003,ต้มยำกุ้ง,อาหารหลัก,118.59,4.6
M004,แกงเขียวหวานไก่,อาหารหลัก,111.87,3.1
M005,ส้มตำ,อาหารหลัก,34.2,5.0
M006,ลาบหมู,อาหารหลัก,78.26,4.9
M007,ผัดกะเพรา,อาหารหลัก,104.55,2.6
M008,แกงส้มปลา,อาหารหลัก,84.02,4.2
M009,ข้าวซอย,อาหารหลัก,93.4,4.9
M010,หมี่กรอบ,อาหารหลัก,73.6,4.9
M011,ปลากะพงนึ่งมะนาว,อาหารหลัก,113.87,4.6
M012,แกงมัสมั่นเนื้อ,อาหารหลัก,77.59,3.3
M013,ยำวุ้นเส้น,อาหารหลัก,37.85,2.8
M014,ก๋วยเตี๋ยวต้มยำ,อาหารหลัก,95.03,2.7
M015,ข้าวคลุกกะปิ,อาหารหลัก,48.73,4.3
M016,ไก่ทอดหาดใหญ่,อาหารหลัก,118.34,2.7
M017,หอยทอด,อาหารหลัก,92.38,4.5
M018,ผัดซีอิ๊ว,อาหารหลัก,22.11,3.3
M019,แกงเปอะ,อาหารหลัก,106.03,4.0
M020,ข้าวกะเพรา,อาหารหลัก,88.49,3.1
M021,ชาเย็น,เครื่องดื่ม,32.13,4.5
M022,กาแฟเย็น,เครื่องดื่ม,25.47,5.0
M023,น้ำส้ม,เครื่องดื่ม,37.23,3.5
M024,น้ำมะนาว,เครื่องดื่ม,18.17,3.7
M025,โค้ก,เครื่องดื่ม,34.2,5.0
M026,สไปรท์,เครื่องดื่ม,28.14,4.4
M027,น้ำเปล่า,เครื่องดื่ม,15.0,4.3
M028,ชาร้อน,เครื่องดื่ม,15.0,3.1
M029,กาแฟร้อน,เครื่องดื่ม,22.0,3.2
M030,น้ำผลไม้รวม,เครื่องดื่ม,16.95,3.2
M031,น้ำแข็งใส,เครื่องดื่ม,15.0,4.2
M032,น้ำอัดลม,เครื่องดื่ม,15.0,3.0
M033,เบียร์,เครื่องดื่ม,23.34,4.7
M034,น้ำแดง,เครื่องดื่ม,16.74,4.9
M035,นมเย็น,เครื่องดื่ม,48.1,2.9
M036,ขนมครก,ของหวาน,30.04,5.0
M037,ทับทิมกรอบ,ของหวาน,57.51,3.8
M038,ข้าวเหนียวมะม่วง,ของหวาน,64.32,3.1
M039,ลูกชุบ,ของหวาน,32.24,3.0
M040,ฟักทอง,ของหวาน,31.02,4.4
M041,บัวลอย,ของหวาน,32.56,4.9
M042,ไอติม,ของหวาน,37.48,4.7
M043,เค้ก,ของหวาน,34.4,4.4
M044,คุกกี้,ของหวาน,22.4,4.2
M045,บราวนี่,ของหวาน,45.15,3.1
M046,ผลไม้,ของหวาน,34.35,3.1
